murX,murY,murZ,rightfemurX,rightfemurY,rightfemurZ,murX,murY,murZ,murX,murY,murZ,leftfemurX,leftfemurY,leftfemurZ,murX,murY,murZ,murX,murY,murZ,upperspineX,upperspineY,upperspineZ,neckX,neckY,neckZ,sphnosetipX,sphnosetipY,sphnosetipZ,sphheadtopX,sphheadtopY,sphheadtopZ,leftshoulderX,leftshoulderY,leftshoulderZ,leftelbowX,leftelbowY,leftelbowZ,leftwristX,leftwristY,leftwristZ,rightshoulderX,rightshoulderY,rightshoulderZ,rightelbowX,rightelbowY,rightelbowZ,rightwristX,rightwristY,rightwristZ
0.0,-0.14,113.91499999999999,12.77,-0.14,113.94,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.89,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.18,0.4,149.37,-0.56,1.08,171.78,-0.85,19.33,187.12,-1.94,9.14,209.25,-18.79,3.0,165.81,-23.43,-2.76,135.14,-8.09,22.47,128.35,18.15,3.09,167.91,29.07,14.04,140.4,5.19,18.85,158.41
0.0,-0.14,113.91,12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.18,0.39,149.37,-0.56,1.08,171.78,-0.86,19.32,187.12,-1.95,9.14,209.25,-18.79,2.99,165.81,-23.41,-2.78,135.13,-8.08,22.47,128.35,18.16,3.04,167.9,29.54,13.23,140.29,5.75,18.6,158.26
0.0,-0.14,113.91,12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.18,0.38,149.37,-0.56,1.06,171.78,-0.89,19.3,187.13,-1.98,9.11,209.25,-18.79,2.95,165.8,-23.38,-2.81,135.12,-8.08,22.45,128.35,18.16,2.97,167.89,29.93,12.24,140.11,6.42,18.3,158.24
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.37,149.37,-0.56,1.05,171.78,-0.9,19.29,187.13,-1.99,9.1,209.25,-18.79,2.94,165.8,-23.36,-2.83,135.11,-8.08,22.45,128.35,18.16,2.89,167.87,30.2,11.12,139.88,7.17,17.98,158.33
0.0,-0.14,113.91,12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.18,0.38,149.37,-0.57,1.06,171.78,-0.92,19.3,187.12,-2.01,9.12,209.25,-18.8,2.94,165.79,-23.35,-2.83,135.1,-8.07,22.45,128.34,18.16,2.82,167.85,30.3,10.13,139.65,7.81,17.69,158.5
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.18,0.37,149.37,-0.58,1.05,171.78,-0.95,19.3,187.12,-2.05,9.11,209.25,-18.8,2.91,165.78,-23.32,-2.86,135.09,-8.07,22.44,128.34,18.16,2.77,167.85,30.18,9.56,139.48,8.16,17.51,158.7
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.37,149.37,-0.57,1.04,171.78,-0.95,19.28,187.12,-2.05,9.09,209.25,-18.8,2.9,165.78,-23.3,-2.87,135.08,-8.06,22.43,128.34,18.16,2.75,167.85,29.87,9.63,139.36,8.1,17.52,158.91
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.18,0.36,149.37,-0.58,1.03,171.78,-0.98,19.28,187.12,-2.08,9.09,209.25,-18.8,2.88,165.77,-23.28,-2.89,135.07,-8.06,22.43,128.34,18.16,2.78,167.86,29.29,10.26,139.3,7.68,17.68,159.2
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.35,149.37,-0.57,1.01,171.78,-0.98,19.25,187.13,-2.08,9.05,209.25,-18.79,2.85,165.77,-23.26,-2.92,135.07,-8.05,22.41,128.35,18.17,2.8,167.88,28.54,11.22,139.29,7.05,17.92,159.57
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.35,149.37,-0.58,1.02,171.78,-1.01,19.26,187.13,-2.11,9.07,209.25,-18.8,2.84,165.76,-23.24,-2.93,135.06,-8.05,22.41,128.34,18.16,2.86,167.9,27.73,12.28,139.35,6.3,18.19,159.93
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.16,0.33,149.37,-0.56,0.97,171.78,-1.01,19.21,187.14,-2.1,9.0,209.25,-18.78,2.79,165.76,-23.21,-2.97,135.05,-8.04,22.4,128.36,18.17,2.88,167.91,27.02,13.2,139.43,5.61,18.4,160.23
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.17,0.34,149.37,-0.58,1.0,171.78,-1.05,19.24,187.13,-2.15,9.04,209.25,-18.8,2.8,165.75,-23.19,-2.98,135.04,-8.05,22.39,128.35,18.14,2.97,167.91,26.53,13.85,139.5,5.04,18.62,160.32
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.17,0.34,149.37,-0.58,0.99,171.78,-1.06,19.23,187.13,-2.17,9.03,209.25,-18.8,2.79,165.74,-23.17,-2.99,135.03,-8.03,22.39,128.35,18.13,3.03,167.9,26.31,14.28,139.57,4.51,18.85,160.1
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.16,0.33,149.37,-0.58,0.98,171.78,-1.08,19.22,187.13,-2.18,9.01,209.25,-18.8,2.76,165.74,-23.15,-3.02,135.02,-8.03,22.38,128.35,18.12,3.11,167.87,26.27,14.57,139.62,4.0,19.08,159.66
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.16,0.32,149.37,-0.58,0.97,171.78,-1.1,19.2,187.13,-2.2,9.0,209.25,-18.8,2.74,165.74,-23.13,-3.04,135.01,-8.03,22.37,128.35,18.1,3.18,167.83,26.38,14.72,139.65,3.64,19.27,159.14
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.16,0.32,149.37,-0.58,0.97,171.78,-1.11,19.21,187.13,-2.22,9.0,209.25,-18.8,2.73,165.73,-23.11,-3.05,135.0,-8.02,22.37,128.35,18.08,3.23,167.79,26.56,14.71,139.65,3.49,19.39,158.73
