leftfemurX,leftfemurY,rightfemurX,rightfemurY,waistX,waistY,upperspineX,upperspineY,rightshoulderX,rightshoulderY,rightelbowX,rightelbowY,rightwristX,rightwristY,leftshoulderX,leftshoulderY,leftelbowX,leftelbowY,leftwristX,leftwristY,neckX,neckY,headbaseX,headbaseY,sphnosetipX,sphnosetipY,sphheadtopX,sphheadtopY
346.0434485264895,385.8830041845645,249.71396853534495,385.41358675999237,297.96975464038263,321.86978742520097,298.0556677973652,252.641565478095,227.90245349801043,187.39243665799916,210.45679189529443,302.43080893456784,263.8461467053436,334.21253722169286,368.0704500634738,189.36471225750734,387.2994616039976,303.0620980572921,333.5139520233659,339.18500495153444,298.13115553691705,167.89518261899582,298.1710696346686,145.52988249425982,297.14657875541434,110.73795078024375,298.30017982387926,24.972660695679792
346.0435711547626,385.84562473150845,249.71396853534495,385.41358675999237,297.970613377481,321.8651309642445,297.98593712910406,252.61255607072553,227.76229504946383,187.47675119223777,209.15399156683168,303.8390576997273,261.0598241373003,322.8081329543681,367.9243247620011,189.1822845679585,387.405119234693,303.5495985095749,332.2224231340669,336.48113422803664,297.9559461167281,167.83645383984674,297.9594641590899,145.46766153959447,296.8951776635342,110.55849627706107,297.9395907980254,24.874369897211523
346.0435711547626,385.84562473150845,249.71396853534495,385.41358675999237,297.93367669608284,321.86030195568736,297.9153535899442,252.58764770279436,227.61783654027727,187.57176508754958,207.65958742373664,304.75795145399746,257.888160265229,310.64092342532507,367.7782355011902,189.07205700359805,387.39654361852655,304.10599727658024,330.6591006952146,333.40543903397634,297.77992184501784,167.78115203509776,297.74706031619024,145.40868879276638,296.7587406698159,110.38250209588159,297.61572494984995,24.780752597720607
346.0435711547626,385.84562473150845,249.71396853534495,385.41358675999237,297.934535714266,321.85564564943905,297.88264799151375,252.56290219551533,227.4777288670182,187.69387369891638,206.17169470190515,305.2718400407508,254.29580964831467,297.8636840261384,367.63205284743253,188.92759187127274,387.2368247516698,304.60074962632274,328.94038627386755,330.1343986681071,297.60474271732335,167.76032104201602,297.57357076505735,145.34664733909847,296.62323636502305,110.20358095872825,297.33029534268326,24.687293067821315
346.0435711547626,385.84562473150845,249.7139574344894,385.4509494165138,297.93539471838733,321.850989419414,297.81207655702525,252.5379987537351,227.37266118680586,187.78544376236675,204.45828982705447,305.35385620266214,250.36340637005355,284.75343783163805,367.4862065007001,188.77958759133003,387.15287713639003,305.02127292973194,327.29959165998855,326.8026924920954,297.4288132249218,167.70504448462088,297.36128953678457,145.28771070453763,296.4483147678748,110.02756734655611,297.0066802598165,24.59375044052183
346.0435711547626,385.84562473150845,249.7139574344894,385.4509494165138,297.89845924528413,321.84616064861405,297.74237434458496,252.5090013132659,227.23114555685643,187.91109455221306,202.59930961482058,304.95120091665706,246.20932346552436,271.48362593944853,367.34040765319185,188.63163151340643,387.03228610531386,305.3353063697574,325.8944280585718,323.689120393384,297.2537984494526,167.6463745811717,297.1490051624834,145.26669642469426,296.274341165531,109.84863080161836,296.684008502467,24.53635802087581
346.04369378331967,385.8082451919026,249.7139574344894,385.4509494165138,297.8993185304668,321.84150457328576,297.7096824135736,252.4842635676015,227.1260881080657,187.96483282796748,200.59621044493485,304.170673424586,241.87390850755247,258.3098254788656,367.1943602232723,188.55940680268043,386.8756403786205,305.55306769269606,324.7627276530347,321.1063255646169,297.11590804178456,167.59127345000684,297.0127851715291,145.20807188225842,296.2143316311994,109.67612448048487,296.51202482101417,24.447866272460374
346.04369378331967,385.8082451919026,249.7139574344894,385.4509494165138,297.9001778015835,321.83684857417484,297.63913061020514,252.45936792568682,226.98458897080835,188.05265075563,198.4885343406931,303.0443633126541,237.47833542738408,245.47968952914687,367.04836214423125,188.41511412767454,386.75891510934633,305.6326486959199,324.09927064444156,319.1236263053014,296.94004838029343,167.57388719128153,296.8015547579323,145.14595825869276,296.0018335935167,109.5356996193616,296.1895825492737,24.390526765187815
346.04369378331967,385.8082451919026,249.71394633365952,385.48831198656484,297.863243536701,321.8320200411146,297.5685857997771,252.43447475137384,226.84166152002965,188.14403172288144,196.3144881552582,301.64706836845755,233.09964705184356,233.14078035610646,366.9027048935356,188.26728874525213,386.682631079242,305.6219034960369,324.0208671131194,318.0782115527968,296.8031075555672,167.51540475637069,296.62740676393423,145.12511606387602,295.9042295508981,109.36018670565124,295.94299045224204,24.297358479405716
346.04369378331967,385.8082451919026,249.71394633365952,385.48831198656484,297.86410308885564,321.827364196689,297.5367710380545,252.40564958276457,226.73810409920097,188.23197738776707,193.99965248015548,299.8974754217523,228.81582432560197,221.55012658766225,366.7566507502175,188.16091110331865,386.6084122230839,305.4772092309785,324.29380763353294,317.57157789699374,296.6273378139286,167.498033387428,296.4533110170934,145.10428012204818,295.7295713489182,109.18445783435527,295.6581704580446,24.242441620173167
