leftfemurX,leftfemurY,rightfemurX,rightfemurY,waistX,waistY,upperspineX,upperspineY,rightshoulderX,rightshoulderY,rightelbowX,rightelbowY,rightwristX,rightwristY,leftshoulderX,leftshoulderY,leftelbowX,leftelbowY,leftwristX,leftwristY,neckX,neckY,headbaseX,headbaseY,sphnosetipX,sphnosetipY,sphheadtopX,sphheadtopY
346.043939,385.7334859,249.7139352,385.5256745,297.8108302,321.9110084,297.1349928,252.9093037,224.428717,185.1556141,200.5829232,267.6705745,218.6022114,159.8201855,366.1218854,188.5371395,386.0415164,300.4009024,337.6256705,341.6386685,295.6035166,168.5225337,294.7487326,146.2293323,291.7265812,112.0369755,287.412964,25.97050166
346.043939,385.7334859,249.7139352,385.5256745,297.7721711,321.915493,297.0918895,252.9337605,224.2412538,184.9750432,198.7717703,259.7217528,214.7257737,146.9182311,366.0446236,188.5511834,385.8926689,300.2103262,337.9747976,341.9112631,295.4770018,168.6079386,294.5813397,146.2838688,291.4776663,112.2061679,286.739945,26.09305878
346.043939,385.7334859,249.7139352,385.5256745,297.7721711,321.915493,297.0910212,252.9378636,224.2002579,184.9061802,198.2030874,257.6347158,213.5613866,143.8445324,366.0062944,188.5546198,385.8172603,300.2429518,337.9362107,341.9492465,295.4752327,168.6147844,294.5795543,146.2903526,291.4757397,112.2508182,286.69865,26.09975143
346.043939,385.7334859,249.7139352,385.5256745,297.7721711,321.915493,297.0910212,252.9378636,224.197296,184.8753792,197.9875958,256.95145,213.1647088,142.7986477,366.0059908,188.5582057,385.7797105,300.2383187,337.9366363,341.9825029,295.4743482,168.6182074,294.5786616,146.2935945,291.473874,112.2568349,286.6967176,26.10429402
346.043939,385.7334859,249.7139352,385.5256745,297.80911,321.9203229,297.0910212,252.9378636,224.2338602,184.917001,198.074213,257.2779613,213.1944825,143.2475441,366.0438701,188.5962499,385.7041642,300.2754085,337.8980498,342.0204857,295.5114919,168.6217762,294.6158302,146.2969784,291.5116056,112.2599811,286.7331839,26.10895773
346.043939,385.7334859,249.7139352,385.5256745,297.7713106,321.9201503,297.1280497,252.9421274,224.2689537,184.9621814,198.3693968,258.3045331,213.5507785,144.6087075,366.0434199,188.6377313,385.6287589,300.3080329,337.8979344,342.0586479,295.5097233,168.6286225,294.6140453,146.3034626,291.5483445,112.3047719,286.8070304,26.15448714
346.0438164,385.7708656,249.7139352,385.5256745,297.80911,321.9203229,297.1271818,252.9462307,224.30699,185.0002466,198.673271,259.4638669,214.0165567,146.2213762,366.0812995,188.6757757,385.5532137,300.3451222,337.8593481,342.0966306,295.5477522,168.6287682,294.6892138,146.3449817,291.6247432,112.3080563,286.8828651,26.15700095
346.0438164,385.7708656,249.7139352,385.5256745,297.80911,321.9203229,297.1650788,252.9463912,224.383044,185.0384605,198.9328397,260.4039585,214.3730933,147.5834341,366.1188763,188.7174072,385.5153571,300.3823796,337.7822911,342.1344337,295.6229268,168.632483,294.7263846,146.348366,291.7001509,112.3529867,286.9961378,26.16190771
346.043939,385.7334859,249.7139352,385.5256745,297.80911,321.9203229,297.1263138,252.950334,224.3421036,185.0833458,199.0159369,260.7386417,214.4324263,148.0529542,366.0805466,188.7208451,385.4399802,300.3820432,337.7816335,342.1775035,295.5831301,168.6391839,294.6856463,146.3579522,291.6586906,112.3618772,286.9538805,26.17087489
346.0438164,385.7708656,249.7139463,385.488312,297.80911,321.9203229,297.1642112,252.9504946,224.4181403,185.0836434,199.0791769,260.3102078,214.4710971,147.545927,366.1187293,188.7553024,385.3644105,300.4520912,337.7435898,342.210578,295.6591899,168.6394754,294.800728,146.355135,291.8142891,112.3594189,287.1468532,26.16920769
346.043939,385.7334859,249.7139352,385.5256745,297.8082498,321.9249803,297.1254458,252.9544374,224.3801404,185.1214114,198.9432658,259.739334,214.2361105,146.8427866,366.0797936,188.7659159,385.2887475,300.460688,337.6270906,342.2198561,295.5813626,168.6460307,294.7228183,146.3613368,291.7350328,112.4038003,287.1055627,26.17590313
346.0438164,385.7708656,249.7139463,385.488312,297.8082498,321.9249803,297.2012412,252.9547586,224.4941771,185.0839409,199.0028421,259.1263255,214.3104739,146.1084208,366.1938844,188.8385678,385.2506994,300.5683288,337.6275191,342.2531099,295.696337,168.6430446,294.875074,146.3619042,291.9670372,112.4046271,287.3743818,26.17675
346.0438164,385.7708656,249.7139463,385.488312,297.8082498,321.9249803,297.2012412,252.9547586,224.4956463,185.080382,198.9496317,258.5813737,214.1927865,145.5227034,366.1934353,188.8800519,385.2126994,300.6100534,337.5114468,342.2956423,295.7343673,168.6431903,294.9131379,146.362046,291.9661084,112.407637,287.4886304,26.17938518
346.0438164,385.7708656,249.7139352,385.5256745,297.8082498,321.9249803,297.1624758,252.9587015,224.4166888,185.1251195,198.9021426,258.4866792,214.0722106,145.3338118,366.1170776,188.8833418,385.0996343,300.6095487,337.4724308,342.3003718,295.6565405,168.6497458,294.8352287,146.368248,291.9255208,112.4521582,287.4079825,26.18823249
