murX,murY,murZ,rightfemurX,rightfemurY,rightfemurZ,murX,murY,murZ,murX,murY,murZ,leftfemurX,leftfemurY,leftfemurZ,murX,murY,murZ,murX,murY,murZ,upperspineX,upperspineY,upperspineZ,neckX,neckY,neckZ,sphnosetipX,sphnosetipY,sphnosetipZ,sphheadtopX,sphheadtopY,sphheadtopZ,leftshoulderX,leftshoulderY,leftshoulderZ,leftelbowX,leftelbowY,leftelbowZ,leftwristX,leftwristY,leftwristZ,rightshoulderX,rightshoulderY,rightshoulderZ,rightelbowX,rightelbowY,rightelbowZ,rightwristX,rightwristY,rightwristZ
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.0,149.37,0.03,0.0,171.8,-0.08,17.38,188.21,-0.08,5.88,209.71,-18.41,1.04,166.3,-23.59,-4.05,135.59,-9.74,22.13,129.22,18.53,0.03,166.58,23.31,-3.61,135.6,8.36,22.23,130.45
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.0,149.37,0.03,0.0,171.8,-0.05,17.4,188.18,-0.1,5.94,209.7,-18.42,0.93,166.3,-23.61,-3.58,135.5,-9.44,22.62,129.93,18.55,0.22,166.65,23.3,-1.73,135.51,8.36,24.49,132.78
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.0,0.01,149.37,0.0,0.03,171.8,-0.06,17.48,188.13,-0.19,6.08,209.68,-18.45,0.85,166.26,-23.6,-3.04,135.37,-9.06,23.13,130.71,18.54,0.43,166.74,23.29,0.15,135.54,8.4,26.54,135.19
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.0,0.01,149.37,-0.0,0.04,171.8,-0.05,17.52,188.09,-0.25,6.17,209.67,-18.45,0.74,166.25,-23.55,-2.45,135.27,-8.66,23.68,131.56,18.55,0.62,166.81,23.24,2.03,135.63,8.47,28.4,137.72
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.0,0.02,149.37,-0.01,0.05,171.8,-0.04,17.56,188.04,-0.31,6.27,209.65,-18.46,0.63,166.23,-23.52,-1.9,135.18,-8.29,24.14,132.4,18.55,0.82,166.88,23.23,3.9,135.83,8.59,30.04,140.31
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.0,0.02,149.37,-0.03,0.06,171.8,-0.04,17.6,188.0,-0.36,6.36,209.64,-18.47,0.53,166.21,-23.49,-1.44,135.12,-7.99,24.52,133.12,18.55,1.01,166.96,23.22,5.75,136.11,8.74,31.47,142.97
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.03,0.04,149.37,-0.08,0.11,171.8,-0.09,17.7,187.95,-0.51,6.52,209.62,-18.52,0.45,166.18,-23.44,-1.13,135.05,-7.81,24.79,133.65,18.51,1.25,167.06,23.21,7.6,136.5,8.9,32.7,145.64
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.03,0.05,149.37,-0.09,0.12,171.8,-0.09,17.74,187.91,-0.57,6.61,209.6,-18.53,0.35,166.16,-23.41,-1.02,135.02,-7.77,24.91,133.95,18.5,1.44,167.13,23.21,9.4,136.96,9.13,33.69,148.35
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.03,0.05,149.37,-0.11,0.14,171.8,-0.09,17.79,187.87,-0.65,6.71,209.58,-18.54,0.24,166.15,-23.38,-1.14,134.99,-7.89,24.88,133.97,18.49,1.64,167.21,23.21,11.18,137.5,9.38,34.48,151.06
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.04,0.05,149.37,-0.13,0.15,171.8,-0.09,17.83,187.83,-0.72,6.81,209.57,-18.56,0.14,166.13,-23.35,-1.28,134.98,-8.03,24.84,133.96,18.48,1.84,167.29,23.22,12.91,138.13,9.67,35.05,153.75
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.04,0.06,149.37,-0.14,0.17,171.8,-0.09,17.87,187.79,-0.78,6.9,209.55,-18.56,0.04,166.12,-23.33,-1.42,134.96,-8.17,24.79,133.95,18.47,2.04,167.37,23.24,14.61,138.82,10.0,35.42,156.41
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.06,0.07,149.37,-0.19,0.2,171.8,-0.14,17.95,187.74,-0.93,7.04,209.53,-18.61,-0.05,166.09,-23.3,-1.57,134.93,-8.32,24.74,133.91,18.42,2.27,167.46,23.25,16.28,139.6,10.32,35.61,159.01
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.06,0.08,149.37,-0.21,0.21,171.8,-0.24,17.98,187.71,-0.97,7.1,209.52,-18.62,-0.09,166.08,-23.28,-1.63,134.91,-8.37,24.73,133.9,18.41,2.39,167.54,23.35,17.79,140.44,10.84,35.55,161.56
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.08,0.09,149.37,-0.24,0.24,171.8,-0.26,18.04,187.68,-1.02,7.2,209.51,-18.64,-0.01,166.06,-23.27,-1.56,134.88,-8.29,24.76,133.87,18.39,2.4,167.59,23.48,18.44,140.9,11.25,35.6,162.68
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.08,0.09,149.37,-0.28,0.26,171.8,-0.29,18.08,187.65,-1.08,7.27,209.49,-18.67,0.07,166.03,-23.25,-1.49,134.85,-8.18,24.78,133.85,18.36,2.35,167.61,23.54,18.36,140.91,11.37,35.97,162.35
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.1,0.1,149.37,-0.3,0.27,171.8,-0.3,18.11,187.62,-1.11,7.34,209.48,-18.69,0.14,166.01,-23.24,-1.41,134.82,-8.08,24.81,133.83,18.34,2.3,167.62,23.59,18.28,140.92,11.49,36.36,162.01
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.11,0.11,149.37,-0.33,0.29,171.8,-0.3,18.16,187.58,-1.14,7.44,209.47,-18.72,0.21,165.99,-23.22,-1.34,134.8,-8.0,24.84,133.81,18.32,2.26,167.63,23.62,18.21,140.92,11.6,36.73,161.67
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.12,0.12,149.37,-0.38,0.32,171.79,-0.35,18.2,187.56,-1.22,7.51,209.46,-18.75,0.28,165.96,-23.2,-1.28,134.76,-7.91,24.86,133.78,18.29,2.22,167.65,23.67,18.13,140.93,11.71,37.05,161.36
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.12,0.12,149.37,-0.39,0.33,171.79,-0.36,18.24,187.53,-1.24,7.58,209.45,-18.77,0.33,165.95,-23.18,-1.23,134.74,-7.84,24.88,133.76,18.28,2.18,167.65,23.7,18.08,140.93,11.81,37.3,161.11
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.13,0.13,149.37,-0.42,0.34,171.79,-0.38,18.27,187.52,-1.28,7.63,209.44,-18.78,0.38,165.93,-23.17,-1.19,134.72,-7.78,24.89,133.75,18.26,2.16,167.66,23.72,18.03,140.93,11.88,37.49,160.92
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.13,0.12,149.37,-0.42,0.34,171.79,-0.38,18.27,187.5,-1.27,7.66,209.43,-18.78,0.39,165.92,-23.15,-1.17,134.71,-7.75,24.9,133.74,18.26,2.14,167.66,23.72,18.01,140.93,11.92,37.51,160.89
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.12,149.37,-0.43,0.34,171.79,-0.4,18.28,187.49,-1.3,7.67,209.43,-18.79,0.38,165.91,-23.13,-1.19,134.7,-7.75,24.9,133.73,18.25,2.16,167.66,23.7,18.02,140.93,11.9,37.43,160.98
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.12,149.37,-0.43,0.35,171.79,-0.42,18.28,187.5,-1.34,7.66,209.43,-18.79,0.37,165.91,-23.11,-1.21,134.69,-7.75,24.89,133.72,18.25,2.16,167.66,23.69,18.03,140.92,11.88,37.4,161.01
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.12,149.37,-0.43,0.35,171.79,-0.43,18.28,187.5,-1.35,7.66,209.43,-18.79,0.37,165.9,-23.09,-1.21,134.68,-7.74,24.89,133.71,18.24,2.16,167.65,23.67,18.03,140.92,11.89,37.41,161.01
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.13,149.37,-0.45,0.35,171.79,-0.47,18.29,187.49,-1.4,7.68,209.42,-18.8,0.37,165.89,-23.07,-1.22,134.66,-7.73,24.89,133.71,18.23,2.17,167.65,23.65,18.04,140.92,11.88,37.44,161.0
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.13,149.37,-0.45,0.35,171.79,-0.47,18.28,187.5,-1.4,7.67,209.43,-18.8,0.37,165.88,-23.05,-1.23,134.66,-7.72,24.89,133.7,18.23,2.17,167.65,23.63,18.04,140.92,11.88,37.47,160.98
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.13,149.37,-0.45,0.35,171.79,-0.49,18.3,187.49,-1.43,7.69,209.42,-18.8,0.36,165.88,-23.03,-1.24,134.64,-7.72,24.89,133.69,18.22,2.18,167.65,23.61,18.05,140.91,11.87,37.49,160.97
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.13,149.37,-0.46,0.35,171.79,-0.49,18.3,187.48,-1.45,7.7,209.42,-18.8,0.36,165.87,-23.01,-1.24,134.64,-7.71,24.89,133.69,18.22,2.18,167.65,23.6,18.05,140.91,11.88,37.49,160.97
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.13,149.37,-0.46,0.35,171.79,-0.51,18.3,187.49,-1.48,7.69,209.42,-18.81,0.36,165.86,-23.0,-1.25,134.62,-7.7,24.89,133.68,18.21,2.18,167.65,23.6,18.04,140.9,11.88,37.46,160.99
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.13,149.37,-0.46,0.36,171.79,-0.53,18.31,187.49,-1.48,7.69,209.42,-18.8,0.38,165.86,-22.98,-1.24,134.62,-7.67,24.89,133.67,18.21,2.16,167.64,23.67,17.98,140.88,11.94,37.27,161.08
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.14,0.15,149.37,-0.45,0.42,171.79,-0.53,18.36,187.49,-1.45,7.75,209.42,-18.79,0.47,165.86,-22.96,-1.19,134.62,-7.6,24.91,133.63,18.24,2.1,167.61,23.99,17.74,140.81,12.15,36.57,161.38
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.13,0.18,149.37,-0.42,0.5,171.79,-0.56,18.45,187.49,-1.41,7.83,209.43,-18.77,0.62,165.87,-22.95,-1.1,134.63,-7.49,24.94,133.57,18.26,2.01,167.57,24.52,17.35,140.71,12.49,35.39,161.87
0.0,-0.14,113.915,12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-0.11,0.23,149.37,-0.38,0.62,171.79,-0.57,18.59,187.49,-1.34,7.97,209.42,-18.73,0.81,165.88,-22.94,-0.98,134.66,-7.35,24.97,133.5,18.31,1.89,167.51,25.21,16.83,140.58,12.95,33.83,162.46
0.0,-0.14,113.91,12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-0.1,0.28,149.37,-0.34,0.75,171.79,-0.58,18.73,187.49,-1.25,8.1,209.42,-18.69,1.03,165.89,-22.94,-0.85,134.68,-7.19,25.01,133.42,18.35,1.76,167.45,26.01,16.23,140.47,13.45,31.99,163.1
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.08,0.33,149.37,-0.29,0.89,171.79,-0.59,18.87,187.49,-1.16,8.24,209.43,-18.65,1.27,165.91,-22.93,-0.7,134.7,-7.02,25.05,133.34,18.4,1.59,167.38,26.87,15.55,140.38,14.01,29.97,163.72
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.07,0.37,149.37,-0.25,1.0,171.79,-0.61,19.0,187.48,-1.08,8.37,209.42,-18.61,1.48,165.92,-22.92,-0.57,134.72,-6.86,25.08,133.26,18.43,1.45,167.32,27.69,14.91,140.33,14.5,27.95,164.28
0.0,-0.14,113.91499999999999,12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-0.05,0.42,149.37,-0.21,1.13,171.78,-0.62,19.13,187.49,-0.99,8.49,209.42,-18.57,1.69,165.93,-22.91,-0.44,134.75,-6.71,25.12,133.18,18.47,1.32,167.26,28.45,14.3,140.29,14.97,26.09,164.72
