leftfemurX,leftfemurY,rightfemurX,rightfemurY,waistX,waistY,upperspineX,upperspineY,rightshoulderX,rightshoulderY,rightelbowX,rightelbowY,rightwristX,rightwristY,leftshoulderX,leftshoulderY,leftelbowX,leftelbowY,leftwristX,leftwristY,neckX,neckY,headbaseX,headbaseY,sphnosetipX,sphnosetipY,sphheadtopX,sphheadtopY
346.0434485264895,385.8830041845645,249.71396853534495,385.41358675999237,297.96975464038263,321.86978742520097,298.0556677973652,252.641565478095,227.90245349801043,187.39243665799916,210.45679189529443,302.43080893456784,263.8461467053436,334.21253722169286,368.0704500634738,189.36471225750734,387.2994616039976,303.0620980572921,333.5139520233659,339.18500495153444,298.13115553691705,167.89518261899582,298.1710696346686,145.52988249425982,297.14657875541434,110.73795078024375,298.30017982387926,24.972660695679792
346.0434485264895,385.8830041845645,249.71396853534495,385.41358675999237,297.96975464038263,321.86978742520097,298.0556677973652,252.641565478095,227.79916322692858,187.19515963111974,210.19910897836508,303.61284976115473,263.5902129092971,326.3909094859209,368.1116070694581,189.32536541961554,387.36741993150287,303.6108774029658,332.33791147153744,336.70609834676344,298.13115553691705,167.89518261899582,298.1702078598787,145.53311315447877,297.0288025638303,110.85924114975023,298.3715674724448,25.02485452136773
346.0434485264895,385.8830041845645,249.71396853534495,385.41358675999237,297.96975464038263,321.86978742520097,298.092685148619,252.64582454761,227.80675435025498,186.92972461337354,209.9402179615405,304.3478842460982,263.2033487815185,318.12826303121074,368.2273093095376,189.44857767576184,387.3206016806716,304.3410344451602,330.8519866408166,333.9653841260244,298.24250161500754,167.90585620872093,298.31877523578225,145.54660217122034,297.0599898825222,111.07619295779773,298.7043161593083,25.134379405028426
346.0434485264895,385.8830041845645,249.71396853534495,385.41358675999237,297.96975464038263,321.86978742520097,298.092685148619,252.64582454761,227.74136011339226,186.7324519895509,209.83170460242866,304.8602115967305,262.7214311233599,309.28177663053066,368.23029614641257,189.44694762488564,387.12253099857685,304.9812003121473,329.2857113444511,330.9729853383807,298.24164099853033,167.90926875861965,298.35505834524355,145.55320555530943,297.01757575986784,111.24233745758511,298.92650211784235,25.19385256655255
346.0434485264895,385.8830041845645,249.71396853534495,385.41358675999237,297.96975464038263,321.86978742520097,298.09182556113615,252.64992325372737,227.71245794767708,186.53882817069132,209.5724248676787,304.954566990604,262.06997082190304,300.0691252218255,368.2711295995584,189.48333114319462,387.0005423824674,305.56670674002766,327.8389794516227,327.9728693528963,298.2787579039572,167.91282679944743,298.4293476294728,145.55995062746433,296.9750918603694,111.44706866461809,299.1477904156687,25.294010727492832
346.0434485264895,385.8830041845645,249.71396853534495,385.41358675999237,297.96975464038263,321.86978742520097,298.09182556113615,252.64992325372737,227.68497208370212,186.3037166149279,209.3152324468837,304.7383194771063,261.32496901056703,290.45966287920334,368.3116711281731,189.5232985478542,386.88013591062946,305.99939388081077,326.66489165302653,325.39253327457186,298.35385330933946,167.91653033681666,298.50449851642315,145.5634647187792,296.9712804177926,111.61337045235894,299.3316981522852,25.353384466785656
346.0434485264895,385.8830041845645,249.71397963622618,385.376224017,298.0066922349883,321.8746165930458,298.203740926857,252.65860218467878,227.80211516302305,186.01120309195448,209.05684026587952,304.1057438858082,260.562812123255,280.6932336161743,368.5034511947996,189.60889616286852,386.6858278868491,306.4016505296168,325.9582870003158,323.48789370582716,298.5394519482502,167.93432174679936,298.76453735960797,145.58707466872863,297.1551401536682,111.83695110887993,299.89306613214853,25.468235558279844
346.0434485264895,385.8830041845645,249.71397963622618,385.376224017,298.0066922349883,321.8746165930458,298.2028822287493,252.66270109870982,227.812622883063,185.81393648926394,208.7673028122297,303.18337477968873,259.55510240018975,270.63946957437065,368.54396692502075,189.64884686577693,386.5704162276154,306.56360302734413,325.7991921731627,322.3947779648499,298.5765735484275,167.937880208283,298.8388397976707,145.59382087949575,297.15133347082025,112.00328193803034,300.11535119257894,25.566181034974534
346.0434485264895,385.8830041845645,249.71397963622618,385.376224017,298.0066922349883,321.8746165930458,298.2028822287493,252.66270109870982,227.82167930948137,185.58228603676002,208.479789389378,301.9458390005794,258.49148646367667,260.4764345051632,368.5849075591332,189.64734851925448,386.4580774983379,306.6213393492993,326.2646036441914,322.30597081187227,298.6508186213036,167.94499731074927,298.9131447362866,145.6005673172981,297.1466423823043,112.17262594695649,300.4135318262416,25.666647505912465
346.0434485264895,385.8830041845645,249.71397963622618,385.376224017,298.0066922349883,321.8746165930458,298.2407607611472,252.66286153988221,227.83073888937813,185.35055492278207,208.16091273715477,300.33998358928153,257.2967486163225,250.2778682276754,368.66339017809645,189.68743831524716,386.34637158223995,306.59493121169174,326.80753528291,322.3277241700069,298.72592291817256,167.94870140534147,299.0254617416734,145.6074554757812,297.14283520507666,112.33897735480537,300.6734721856295,25.72857793410867
346.0434485264895,385.8830041845645,249.71397963622618,385.376224017,298.0066922349883,321.8746165930458,298.239902359518,252.66696052322118,227.83980162440068,185.11874310519192,207.8074408632053,298.48740452099116,255.96874964412092,240.09655925981383,368.66605395611396,189.6893778703494,386.27232380967195,306.6062296375247,327.3510635218501,322.34471678168444,298.76219091215677,167.9556734132192,299.09977233491486,145.614202371298,297.13902780923655,112.50533831474138,300.8958677270259,25.826565951027874
